="16TTP012";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Pädagogische Hochschule Karlsruhe";="08212000";="Karlsruhe";="Karlsruhe";="Baden-Württemberg";="Deutschland";="Pädagogische Hochschule Karlsruhe";="08212000";="Karlsruhe";="Karlsruhe";="Baden-Württemberg";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - PH Karlsruhe";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.09.2029";2.833.080,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP078";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Leuphana Universität Lüneburg";="03355022";="Lüneburg";="Lüneburg";="Niedersachsen";="Deutschland";="Leuphana Universität Lüneburg";="03355022";="Lüneburg";="Lüneburg";="Niedersachsen";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Leuphana Universität Lüneburg";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.09.2029";2.833.080,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP014";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Pädagogische Hochschule Schwäbisch Gmünd";="08136065";="Schwäbisch Gmünd";="Schwäbisch Gmünd";="Baden-Württemberg";="Deutschland";="Pädagogische Hochschule Schwäbisch Gmünd";="08136065";="Schwäbisch Gmünd";="Schwäbisch Gmünd";="Baden-Württemberg";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - PH Schwäbisch-Gmünd";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.09.2029";3.777.440,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="16TTP112";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Universität des Saarlandes";="10041100";="Saarbrücken";="Saarbrücken";="Saarland";="Deutschland";="Universität des Saarlandes";="10041100";="Saarbrücken";="Saarbrücken";="Saarland";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - Universität des Saarlandes";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2017";="30.09.2029";12.276.680,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="01DG21022";="BMBF";="211";="PT-DLR";="IB";="Alexander von Humboldt-Stiftung";="05314000";="Bonn";="Bonn";="Nordrhein-Westfalen";="Deutschland";="Alexander von Humboldt-Stiftung";="05314000";="Bonn";="Bonn";="Nordrhein-Westfalen";="Deutschland";="Einrichtung von fünf Deutschen Forschungslehrstühlen im Bereich 'Mathematik und ihre Anwendungen' an Zentren des African Institute for Mathematical Sciences (AIMS)";="RE8040";="Förderung des Wissenschaftleraustauschs, Stipendien";="01.04.2021";="30.09.2029";4.175.000,00;="Technologie- und Innovationsförderung";="";="PDIR";
="16TTP135";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Bauhaus-Universität Weimar";="16055000";="Weimar";="Weimar";="Thüringen";="Deutschland";="Bauhaus-Universität Weimar";="16055000";="Weimar";="Weimar";="Thüringen";="Deutschland";="Etablierung des Karrierewegs Tenure-Track-Professur - Bauhaus-Universität Weimar";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2019";="30.11.2029";7.554.880,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="STIREAK29A";="BMBF";="715";="BF";="";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Stilllegung Reaktorprojekte der FZK GmbH";="ED1000";="Beseitigung kerntechnischer Anlagen";="01.01.2029";="31.12.2029";0,00;="Technologie- und Innovationsförderung";="";="PDIR";
="16TTP059";="BMBF";="414";="PT-VDI/VDE";="TZ-MST";="Technische Universität Darmstadt";="06411000";="Darmstadt";="Darmstadt";="Hessen";="Deutschland";="Technische Universität Darmstadt - Präsidium";="06411000";="Darmstadt";="Darmstadt";="Hessen";="Deutschland";="Etablierung des Karrierewegs der Tenure-Track-Professur - TU Darmstadt";="TB0810";="Förderung des wissenschaftlichen Nachwuchses";="01.12.2017";="31.12.2029";18.887.200,00;="Hochschulbau und überwiegend hochschulbezogene Sonderprogramme";="";="PDIR";
="WAK2029A";="BMBF";="715";="BF";="";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Stilllegung und Rückbau der Wiederaufarbeitungsanlage Karlsruhe";="ED5000";="Risikobeteiligung Kernenergie";="01.01.2029";="31.12.2029";0,00;="Technologie- und Innovationsförderung";="";="PDIR";
="HDB2029E";="BMBF";="715";="BF";="";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Kerntechnische Entsorgung Karlsruhe GmbH";="08215102";="Eggenstein-Leopoldshafen";="Eggenstein-Leopoldshafen";="Baden-Württemberg";="Deutschland";="Gesetzliche Endlageraufwendungen (Endlagervorausleistungen und Endlagergebühren)";="ED2000";="Verfüllung und Sicherung kerntechnischer Endlager";="01.01.2029";="31.12.2029";0,00;="Technologie- und Innovationsförderung";="";="PDIR";
